[  3] 20.00-20.10 sec  8.81 MBytes   739 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65982 pps
[  3] 20.10-20.20 sec  8.80 MBytes   738 Mbits/sec   0.017 ms    0/    0 (-nan%) -/-/-/- ms 65999 pps
[  3] 20.20-20.30 sec  8.70 MBytes   730 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 65125 pps
[  3] 20.30-20.40 sec  8.81 MBytes   739 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65936 pps
[  3] 20.40-20.50 sec  8.82 MBytes   740 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 66026 pps
[  3] 20.50-20.60 sec  8.78 MBytes   736 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65790 pps
[  3] 20.60-20.70 sec  8.80 MBytes   738 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65934 pps
[  3] 20.70-20.80 sec  8.84 MBytes   741 Mbits/sec   0.015 ms    0/    0 (-nan%) -/-/-/- ms 66210 pps
[  3] 20.80-20.90 sec  8.80 MBytes   738 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65803 pps
[  3] 20.90-21.00 sec  8.81 MBytes   739 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65994 pps
[  3] 21.00-21.10 sec  8.80 MBytes   738 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65984 pps
[  3] 21.50-21.60 sec  7.46 MBytes   626 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 55804 pps
[  3] 21.60-21.70 sec  9.06 MBytes   760 Mbits/sec   0.016 ms    0/    0 (-nan%) -/-/-/- ms 67900 pps
[  3] 21.70-21.80 sec  9.23 MBytes   774 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 69012 pps
[  3] 21.80-21.90 sec  9.20 MBytes   772 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68866 pps
[  3] 22.20-22.30 sec  4.96 MBytes   416 Mbits/sec   0.027 ms    0/    0 (-nan%) -/-/-/- ms 42494 pps
[  3] 22.30-22.40 sec  7.43 MBytes   623 Mbits/sec   0.011 ms    0/    0 (-nan%) -/-/-/- ms 55672 pps
